SeriesId,Month,#Passengers
1,1949-01-01,112
1,1949-02-01,118
1,1949-03-01,132
1,1949-04-01,129
1,1949-05-01,121
1,1949-06-01,135
1,1949-07-01,148
1,1949-08-01,148
1,1949-09-01,136
1,1949-10-01,119
1,1949-11-01,104
1,1949-12-01,118
1,1950-01-01,115
1,1950-02-01,126
1,1950-03-01,141
1,1950-04-01,135
1,1950-05-01,125
1,1950-06-01,149
1,1950-07-01,170
1,1950-08-01,170
1,1950-09-01,158
1,1950-10-01,133
1,1950-11-01,114
1,1950-12-01,140
1,1951-01-01,145
1,1951-02-01,150
1,1951-03-01,178
1,1951-04-01,163
1,1951-05-01,172
1,1951-06-01,178
1,1951-07-01,199
1,1951-08-01,199
1,1951-09-01,184
1,1951-10-01,162
1,1951-11-01,146
1,1951-12-01,166
1,1952-01-01,171
1,1952-02-01,180
1,1952-03-01,193
1,1952-04-01,181
1,1952-05-01,183
1,1952-06-01,218
1,1952-07-01,230
1,1952-08-01,242
1,1952-09-01,209
1,1952-10-01,191
1,1952-11-01,172
1,1952-12-01,194
1,1953-01-01,196
1,1953-02-01,196
1,1953-03-01,236
1,1953-04-01,235
1,1953-05-01,229
1,1953-06-01,243
1,1953-07-01,264
1,1953-08-01,272
1,1953-09-01,237
1,1953-10-01,211
1,1953-11-01,180
1,1953-12-01,201
1,1954-01-01,204
1,1954-02-01,188
1,1954-03-01,235
1,1954-04-01,227
1,1954-05-01,234
1,1954-06-01,264
1,1954-07-01,302
1,1954-08-01,293
1,1954-09-01,259
1,1954-10-01,229
1,1954-11-01,203
1,1954-12-01,229
1,1955-01-01,242
1,1955-02-01,233
1,1955-03-01,267
1,1955-04-01,269
1,1955-05-01,270
1,1955-06-01,315
1,1955-07-01,364
1,1955-08-01,347
1,1955-09-01,312
1,1955-10-01,274
1,1955-11-01,237
1,1955-12-01,278
1,1956-01-01,284
1,1956-02-01,277
1,1956-03-01,317
1,1956-04-01,313
1,1956-05-01,318
1,1956-06-01,374
1,1956-07-01,413
1,1956-08-01,405
1,1956-09-01,355
1,1956-10-01,306
1,1956-11-01,271
1,1956-12-01,306
1,1957-01-01,315
1,1957-02-01,301
1,1957-03-01,356
1,1957-04-01,348
1,1957-05-01,355
1,1957-06-01,422
1,1957-07-01,465
1,1957-08-01,467
1,1957-09-01,404
1,1957-10-01,347
1,1957-11-01,305
1,1957-12-01,336
1,1958-01-01,340
1,1958-02-01,318
1,1958-03-01,362
1,1958-04-01,348
1,1958-05-01,363
1,1958-06-01,435
1,1958-07-01,491
1,1958-08-01,505
1,1958-09-01,404
1,1958-10-01,359
1,1958-11-01,310
1,1958-12-01,337
1,1959-01-01,360
1,1959-02-01,342
1,1959-03-01,406
1,1959-04-01,396
1,1959-05-01,420
1,1959-06-01,472
1,1959-07-01,548
1,1959-08-01,559
1,1959-09-01,463
1,1959-10-01,407
1,1959-11-01,362
1,1959-12-01,405
1,1960-01-01,417
1,1960-02-01,391
1,1960-03-01,419
1,1960-04-01,461
1,1960-05-01,472
1,1960-06-01,535
1,1960-07-01,622
1,1960-08-01,606
1,1960-09-01,508
1,1960-10-01,461
1,1960-11-01,390
1,1960-12-01,432
